[2023-07-04 10:35:03,443][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 10:35:03,444][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 10:35:03,444][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 10:35:03,453][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 10:35:03,457][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 10:35:03,458][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 10:35:03,459][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 10:35:03,459][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 10:35:03,460][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 10:35:03,461][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 10:35:03,461][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 10:47:25,981][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 10:47:30,860][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 10:49:17,043][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 10:49:43,135][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 10:49:43,136][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 10:49:43,137][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 10:49:43,137][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 10:49:43,138][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 10:49:43,138][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 10:49:43,139][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 10:49:43,140][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 10:49:43,140][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 10:49:43,141][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
